INFO  - 2015-11-18 17:13:29.974; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:29.978; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:29.982; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:29.985; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:29.988; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:29.990; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:29.993; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:29.996; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:29.999; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.002; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.005; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.008; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.010; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.013; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.016; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.019; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.023; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.026; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.029; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.032; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.034; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.036; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.037; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.039; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.041; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=start+asc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
INFO  - 2015-11-18 17:13:30.044; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=*:*+AND+type:record+AND+series:$swl+AND+group:$*+AND+host:$*+AND+process:$*+AND+measurement:$*+AND+-end:[*+TO+2015-10-13T00:01:26Z]+AND+-start:[2015-11-16T16:03:34Z+TO+*]+AND+metric:$*&sort=end+desc&rows=1&wt=javabin&version=2} hits=1191380 status=0 QTime=0 
